"X","Y","malpi_aster_w4u3_rit"
581019.152374,4437412.280209,854.000000
581046.428327,4437412.280209,862.000000
581073.704280,4437412.280209,866.000000
581100.980233,4437412.280209,867.000000
581128.256186,4437412.280209,871.000000
581155.532139,4437412.280209,875.000000
581182.808092,4437412.280209,879.000000
581210.084045,4437412.280209,883.000000
581237.359998,4437412.280209,886.000000
581264.635951,4437412.280209,885.000000
581291.911904,4437412.280209,881.000000
581319.187857,4437412.280209,876.000000
581346.463810,4437412.280209,875.000000
581373.739763,4437412.280209,872.000000
581401.015716,4437412.280209,871.000000
581428.291669,4437412.280209,869.000000
581455.567622,4437412.280209,866.000000
581482.843575,4437412.280209,855.000000
581510.119528,4437412.280209,853.000000
581537.395481,4437412.280209,853.000000
581564.671434,4437412.280209,849.000000
581591.947387,4437412.280209,845.000000
581619.223340,4437412.280209,843.000000
581646.499293,4437412.280209,836.000000
581673.775246,4437412.280209,832.000000
581701.051199,4437412.280209,827.000000
581728.327152,4437412.280209,824.000000
581755.603105,4437412.280209,818.000000
581782.879058,4437412.280209,811.000000
581810.155011,4437412.280209,817.000000
581837.430964,4437412.280209,815.000000
581864.706917,4437412.280209,817.000000
581891.982870,4437412.280209,822.000000
581919.258823,4437412.280209,821.000000
581946.534776,4437412.280209,820.000000
581973.810729,4437412.280209,816.000000
582001.086682,4437412.280209,818.000000
582028.362635,4437412.280209,815.000000
582055.638588,4437412.280209,806.000000
582082.914541,4437412.280209,802.000000
582110.190494,4437412.280209,797.000000
582137.466447,4437412.280209,791.000000
582164.742400,4437412.280209,783.000000
582192.018353,4437412.280209,781.000000
582219.294306,4437412.280209,781.000000
582246.570259,4437412.280209,780.000000
582273.846212,4437412.280209,778.000000
582301.122165,4437412.280209,779.000000
582328.398118,4437412.280209,777.000000
582355.674071,4437412.280209,769.000000
582382.950024,4437412.280209,768.000000
582410.225977,4437412.280209,772.000000
582437.501930,4437412.280209,772.000000
582464.777883,4437412.280209,771.000000
582492.053836,4437412.280209,769.000000
582519.329789,4437412.280209,764.000000
582546.605742,4437412.280209,749.000000
582573.881695,4437412.280209,739.000000
582601.157648,4437412.280209,728.000000
582628.433601,4437412.280209,720.000000
582655.709554,4437412.280209,718.000000
582682.985507,4437412.280209,720.000000
582710.261460,4437412.280209,727.000000
582737.537413,4437412.280209,727.000000
582764.813366,4437412.280209,725.000000
582792.089319,4437412.280209,721.000000
582819.365272,4437412.280209,722.000000
582846.641225,4437412.280209,722.000000
582873.917178,4437412.280209,724.000000
582901.193131,4437412.280209,727.000000
582928.469084,4437412.280209,724.000000
582955.745037,4437412.280209,722.000000
582983.020990,4437412.280209,721.000000
583010.296943,4437412.280209,722.000000
583037.572896,4437412.280209,724.000000
583064.848849,4437412.280209,723.000000
583092.124802,4437412.280209,721.000000
583119.400755,4437412.280209,723.000000
583146.676708,4437412.280209,723.000000
583173.952661,4437412.280209,721.000000
583201.228614,4437412.280209,712.000000
583228.504567,4437412.280209,707.000000
583255.780520,4437412.280209,700.000000
583283.056473,4437412.280209,691.000000
583310.332426,4437412.280209,689.000000
583337.608379,4437412.280209,687.000000
583364.884332,4437412.280209,685.000000
583392.160285,4437412.280209,684.000000
583419.436238,4437412.280209,680.000000
583446.712191,4437412.280209,676.000000
583473.988144,4437412.280209,675.000000
583501.264097,4437412.280209,675.000000
583528.540050,4437412.280209,675.000000
583555.816003,4437412.280209,673.000000
583583.091956,4437412.280209,670.000000
583610.367909,4437412.280209,667.000000
583637.643862,4437412.280209,667.000000
583664.919815,4437412.280209,668.000000
583692.195768,4437412.280209,670.000000
583719.471721,4437412.280209,670.000000
583746.747674,4437412.280209,668.000000
583774.023627,4437412.280209,667.000000
583801.299580,4437412.280209,671.000000
583828.575533,4437412.280209,673.000000
583855.851486,4437412.280209,673.000000
583883.127439,4437412.280209,673.000000
583910.403392,4437412.280209,669.000000
583937.679345,4437412.280209,665.000000
583964.955298,4437412.280209,662.000000
583992.231251,4437412.280209,655.000000
584019.507204,4437412.280209,652.000000
584046.783157,4437412.280209,653.000000
584074.059110,4437412.280209,656.000000
584101.335063,4437412.280209,659.000000
584128.611016,4437412.280209,659.000000
584155.886969,4437412.280209,658.000000
584183.162922,4437412.280209,658.000000
584210.438875,4437412.280209,661.000000
584237.714828,4437412.280209,662.000000
584264.990781,4437412.280209,660.000000
584292.266734,4437412.280209,658.000000
584319.542687,4437412.280209,656.000000
584346.818640,4437412.280209,666.000000
584374.094593,4437412.280209,674.000000
584401.370546,4437412.280209,681.000000
584428.646499,4437412.280209,687.000000
584455.922452,4437412.280209,690.000000
584483.198405,4437412.280209,693.000000
584510.474358,4437412.280209,696.000000
584537.750311,4437412.280209,694.000000
584565.026264,4437412.280209,691.000000
584592.302217,4437412.280209,687.000000
584619.578170,4437412.280209,684.000000
584646.854123,4437412.280209,679.000000
584674.130076,4437412.280209,677.000000
584701.406029,4437412.280209,674.000000
584728.681982,4437412.280209,670.000000
584755.957935,4437412.280209,668.000000
584783.233888,4437412.280209,666.000000
584810.509841,4437412.280209,664.000000
584837.785794,4437412.280209,662.000000
584865.061747,4437412.280209,664.000000
584892.337700,4437412.280209,667.000000
584919.613653,4437412.280209,670.000000
584946.889606,4437412.280209,673.000000
584974.165559,4437412.280209,679.000000
585001.441512,4437412.280209,684.000000
585028.717465,4437412.280209,688.000000
585055.993418,4437412.280209,692.000000
585083.269371,4437412.280209,703.000000
