x,y,z,dipdir,dipang
586431,4.44243e+06,1039.89,135,35
586447,4.44243e+06,1033.62,135,35
586358,4.4424e+06,1062.64,135,35
586365,4.44241e+06,1060.3,135,35
586365,4.44241e+06,1060.3,135,35
586371,4.44241e+06,1058.95,135,35
586371,4.44241e+06,1058.95,135,35
586393,4.44242e+06,1053.15,135,35
586393,4.44242e+06,1053.15,135,35
586417,4.44243e+06,1045.44,135,35
586417,4.44243e+06,1045.44,135,35
586420,4.44243e+06,1044.44,135,35
586431,4.44243e+06,1039.89,135,35
586420,4.44243e+06,1044.44,135,35
586301,4.44238e+06,1077.04,135,35
586311,4.44238e+06,1074.42,135,35
586311,4.44238e+06,1074.42,135,35
586319,4.44239e+06,1072.45,135,35
586319,4.44239e+06,1072.45,135,35
586338,4.4424e+06,1068.47,135,35
586358,4.4424e+06,1062.64,135,35
586338,4.4424e+06,1068.47,135,35
586225,4.44235e+06,1101.44,135,35
586229,4.44235e+06,1100.65,135,35
586229,4.44235e+06,1100.65,135,35
586232,4.44235e+06,1099.46,135,35
586232,4.44235e+06,1099.46,135,35
586256,4.44236e+06,1090.14,135,35
586256,4.44236e+06,1090.14,135,35
586271,4.44236e+06,1085.96,135,35
586271,4.44236e+06,1085.96,135,35
586283,4.44237e+06,1082.52,135,35
586301,4.44238e+06,1077.04,135,35
586283,4.44237e+06,1082.52,135,35
586179,4.44232e+06,1110.66,135,35
586202,4.44234e+06,1106.42,135,35
586225,4.44235e+06,1101.44,135,35
586202,4.44234e+06,1106.42,135,35
586121,4.44229e+06,1125.72,135,35
586147,4.44231e+06,1118.53,135,35
586147,4.44231e+06,1118.53,135,35
586169,4.44232e+06,1112.97,135,35
586169,4.44232e+06,1112.97,135,35
586174,4.44232e+06,1111.53,135,35
586179,4.44232e+06,1110.66,135,35
586174,4.44232e+06,1111.53,135,35
586071,4.44227e+06,1137.17,135,35
586092,4.44228e+06,1132.63,135,35
586092,4.44228e+06,1132.63,135,35
586118,4.44229e+06,1126.47,135,35
586118,4.44229e+06,1126.47,135,35
586120,4.44229e+06,1126.14,135,35
586121,4.44229e+06,1125.72,135,35
586120,4.44229e+06,1126.14,135,35
585990,4.44224e+06,1163.83,135,35
586011,4.44225e+06,1157.77,135,35
586011,4.44225e+06,1157.77,135,35
586021,4.44225e+06,1153.48,135,35
586021,4.44225e+06,1153.48,135,35
586038,4.44226e+06,1147.93,135,35
586038,4.44226e+06,1147.93,135,35
586062,4.44226e+06,1139.97,135,35
586062,4.44226e+06,1139.97,135,35
586065,4.44227e+06,1138.93,135,35
586071,4.44227e+06,1137.17,135,35
586065,4.44227e+06,1138.93,135,35
585884,4.44221e+06,1202.53,135,35
585902,4.44222e+06,1197.3,135,35
585902,4.44222e+06,1197.3,135,35
585911,4.44222e+06,1193.99,135,35
585911,4.44222e+06,1193.99,135,35
585929,4.44222e+06,1184.18,135,35
585929,4.44222e+06,1184.18,135,35
585940,4.44222e+06,1180.49,135,35
585940,4.44222e+06,1180.49,135,35
585956,4.44223e+06,1174.84,135,35
585956,4.44223e+06,1174.84,135,35
585978,4.44224e+06,1166.98,135,35
585978,4.44224e+06,1166.98,135,35
585983,4.44224e+06,1165.61,135,35
585990,4.44224e+06,1163.83,135,35
585983,4.44224e+06,1165.61,135,35
585827,4.44219e+06,1217.4,135,35
585847,4.44219e+06,1211.74,135,35
